orb_radius,period
0.02815,3.1489999999999996
0.078361,14.628
1.135,598.3
0.0505,7.2004
0.125,28.14
0.213,62.24
0.156,39.025999999999996
0.5489999999999999,256.2
0.039,4.6938
1.82,1056.80005
6.6,7337.0
0.17,38.14
3.56,3657.0
0.163,35.68
2.35,1882.0
0.11,15.76491
0.208317,61.1166
0.12959,30.0881
0.020807,1.9377799999999998
0.3343,124.26
0.29100000000000004,73.94
0.01888,1.2089802
0.03942,3.648083
0.05615,6.201467
0.05561,4.46529976
0.05254,4.88780244
4.13,3407.0
0.0384,3.2130598
0.0413,2.77596
5.6,5584.0
0.0559,5.508023000000001
0.0466,4.0087779999999995
0.06813999999999999,5.6335158
0.0361,2.875317
0.0466,3.652836
0.04,3.039577
0.0434,3.257215
0.0379,2.7974360000000003
0.0523,4.640382
0.0509,3.5438699999999996
0.04438,3.056536
0.0575,4.641878
0.0443,3.3326870000000004
0.0507,4.301219000000001
1.7519999999999998,872.2
0.0452,3.1289919999999998
0.0577,4.463129
0.0453,3.1220109000000003
0.05069,4.2180278
0.03694,2.7535952999999997
0.03159,1.9616241
0.04117,3.799847
0.04604,3.5852467000000003
0.03951,2.6054552
0.04363,2.972086
0.06505,4.8101025
0.053,3.92289
0.0444,3.4464589999999995
0.044910000000000005,3.312846
0.0507,3.619188
0.0441,3.142702
0.04057,3.0440499
0.03815,2.7667641
0.02712,1.74748753
0.03744,2.686502
0.1308,16.254610999999997
0.01761,0.8378434000000001
0.023,1.354133
0.05025,4.7228124000000005
0.03397,2.1605156
0.02547,1.3484954
0.05163,4.2986432
0.04735,3.3023881
0.0611,4.6370379999999995
0.04131,3.1810781
0.05475,4.605874900000001
0.0485,3.547851
0.04354,3.1743516
0.0478,3.37796
0.04024,2.8126548
0.03727,2.5495551
0.03166,2.1061607
0.03199,1.8209993000000002
0.0523,4.175186
0.06007000000000001,4.5776348
0.0362,2.516729
0.04997,3.2642736
0.0583,4.193649
0.03689,2.292102
0.04944,4.388849700000001
0.03649,2.7439004000000002
0.05511,4.1876244
0.05367,4.7423729
0.0542,4.763387000000001
0.050460000000000005,3.8297015
0.04639,3.3488702000000004
0.02498,1.36665436
0.04753,3.8537767999999994
0.061120000000000015,5.416081
2.504,1422.0
0.03623,3.3252725
0.04012,3.185315
0.04667,3.583893
0.0312,1.915291
0.68,157.57001
1.03,383.70001
0.06412000000000001,5.75969
0.12859,16.357
0.2699,49.748000000000005
0.4929,122.744
1.4269999999999998,604.67
3.3810000000000002,2205.0
0.3,70.46
0.15,20.8133
0.05,4.11377
0.51,127.58
1.81,778.09998
0.46,122.1
0.0807,6.4947
0.25,47.84
0.0498,4.5557
0.07,5.8881
0.26,55.806000000000004
2.01,1032.3
0.95,199.505
2.61,1531.0
3.34,1888.0
0.0905,9.55804
0.1533,21.057879999999997
2.015,989.2
4.59,3630.0
2.14,1075.69
0.26899999999999996,48.056000000000004
0.102,10.8985
2.0,1129.0
1.32,437.7
1.04,394.48123
2.659,1624.0
0.33,68.27
0.079,7.8543
0.196,30.93
0.0615,5.239891
2.14,835.477
1.97,1143.0
2.5,1056.4
1.82,825.9
0.92,324.0
1.24,663.2
2.44,1818.0
1.6,610.2
1.73,937.7000099999999
5.34,4000.0
2.1,1114.0
0.36,83.9151
1.16,493.7
2.9,1622.1
0.774,223.41
1.65,670.0
3.74,2597.0
1.09,433.70000999999996
0.17,25.826999999999998
0.07,6.1335
3.16,1945.0
0.22899999999999998,37.91
1.93,711.0
4.3,2082.0
0.33,63.33
0.297,58.83
0.08,9.6737
1.3719999999999999,557.04
0.0524,4.15514
4.06,2835.0
0.54,133.60001
0.84,262.70862
2.8145,1708.0
2.37,1244.0
1.084,453.019
1.74,921.538
0.87,298.2
2.9,1840.0
0.0925,10.70871
2.01,896.0
3.17,1951.0
4.1,2613.0
1.25,471.60000999999994
1.98,974.0
2.62,1544.0
1.44,649.0
4.49,3568.0
6.15,5769.0
0.81,258.17999
5.8,5000.0
1.29,464.29999000000004
0.89,330.0
0.154,19.382
2.03,931.0
5.15,4218.0
2.36,1125.7
3.4,1455.0
0.415,94.44
0.6890000000000001,201.99
2.09,1069.8
5.0,5000.0
1.5,653.21997
1.02,349.7
6.8,6005.0
