Time,Flux
352.3772790462972,69017.98
352.39771195962385,69032.766
352.43857778676465,69036.18
352.4590107005861,69045.195
352.47944361454574,69047.375
352.4998765286873,69026.64
352.5203094429744,69027.836
352.54074225739896,69039.305
352.56117527203605,69018.27
352.5816081868179,69034.46
352.60204100173723,69029.66
352.6224740168691,69017.664
352.6429069321166,69029.56
352.66333984753146,69035.875
352.6837727631282,69043.94
352.7042056788705,69039.58
352.7246385947801,69036.33
352.74507151087164,69050.42
352.7655044270796,69040.28
352.78593734348397,69044.66
352.8063701600695,69039.77
352.82680317677296,69038.77
352.8472360936721,69044.33
352.8676689107233,69057.88
352.8881019279215,69046.34
352.90853484531544,69035.164
352.9289676628614,69053.68
352.9494006805544,69062.766
352.96983359841397,69040.875
353.0106993346417,69039.8
353.0311323529968,69035.086
353.05156527153304,69049.33
353.07199809021404,69041.1
353.0924311090639,69040.055
353.1128640280658,69054.86
353.1332968472416,69035.64
353.1537298665862,69031.88
353.1741627860829,69046.42
353.1945956057534,69036.54
353.2150286255928,69051.695
353.23546154558426,69043.414
353.25589436574955,69047.336
353.27632728608296,69049.13
353.2967603065699,69064.97
353.31719312723,69043.43
353.33762604805815,69047.55
353.3580589690682,69056.74
353.3784918901947,69045.94
353.39892481148854,69039.56
353.41935783302324,69027.4
353.43979065467283,69040.945
353.46022357649053,69046.21
353.4806565984327,69046.59
353.50108942060615,69036.53
353.5215223428895,69059.336
353.541955265413,69045.47
353.56238818805286,69038.98
353.5828211108601,69056.02
353.6032540338492,69046.2
353.62368695695477,69048.66
353.64411988028587,69043.445
353.66455280374066,69036.06
353.68498582737084,69044.75
353.70541865122505,69060.47
353.7258515752037,69063.38
353.74628459929954,69047.586
353.7667174236194,69028.35
353.78715034812194,69177.11
353.8075831727401,69057.0
353.8280161975854,69049.99
353.8484491225536,69056.4
353.8688820476964,69046.55
353.88931497300655,69040.68
353.9097478984986,69042.234
353.9301808241653,69030.55
353.9506137499411,69053.19
353.97104667595704,69049.625
353.9914796020894,69064.99
354.0119124284538,69055.41
354.0323454549289,69069.83
354.0527783815851,69050.12
354.0732112084079,69061.85
354.0936442354141,69049.07
354.114077162536,69053.336
354.13450998988264,69066.35
354.15494301741273,69063.22
354.1753758450577,69050.234
354.1958087728708,69046.766
354.21624180092476,69040.72
354.2366747290944,69062.03
354.2571075574306,69056.19
354.27754048594943,69055.42
354.2979735146437,69039.16
354.31840634350374,68775.97
354.33883927248826,68434.82
354.35927230170637,68353.18
354.3797051310321,68345.086
354.4001380605987,68341.57
354.42057109028246,68381.67
354.44100392019027,68543.12
354.4614368502225,69015.47
354.48186988043017,69060.46
354.50230271080363,69052.77
354.52273564135976,69049.29
354.5431685720905,69058.44
354.56360160293116,69052.55
354.5840344340104,69071.086
354.604467365265,69065.24
354.6249003966295,69048.54
354.64533322823263,69052.336
354.6657661600111,69058.07
354.6861991918995,69056.64
354.70663202396827,69067.98
354.7270649562706,69055.66
354.7474979886829,69047.37
354.7679308212755,69050.31
354.78836375404353,69042.72
354.8087966869789,69058.08
354.82922962009616,69064.59
354.84966255338804,69074.97
354.8700954869055,69064.47
354.89052852048917,69059.43
354.91096135430416,69060.16
354.93139428828727,69069.98
354.95182722245227,69082.55
354.9722601567337,69070.664
354.99269309124065,69078.266
355.0131260259295,69086.47
355.033558960793,69066.3
355.0539917957649,69129.26
355.0744247309776,69069.375
355.09485776630754,69054.586
355.11529070186225,69081.29
355.1357235375399,69075.05
355.1561565734519,69070.39
355.17658950947225,69060.12
355.19702234573197,69070.06
355.2174553821096,69080.31
355.23788831865386,69054.55
355.25832115537924,69077.44
355.2787540923382,69060.695
355.2991871294071,69061.85
355.3196199666563,69095.375
355.34005290413916,69084.52
355.3604859417319,69072.71
355.380918779505,69077.51
355.4217847556283,69077.18
355.44221769392607,69072.65
355.4626505323977,69078.914
355.48308357103815,69091.8
355.50351650985976,69085.3
355.52394934891345,69079.27
355.54438228807703,69080.336
355.5648153274233,69076.2
355.5852481669426,69085.19
355.60568110669556,69082.11
355.6261141465584,69076.47
355.6465469866016,69078.73
355.66697992687114,69065.984
355.6874129672651,69066.81
355.70784590783296,69066.734
355.7282787486329,69080.13
355.74871178954345,69076.4
355.76914473063516,69064.16
355.78957757189346,69090.34
355.8100105133926,69063.82
355.8304434550082,69075.06
355.85087639684934,69077.3
355.87130933881417,69087.95
