Time,Flux
352.3768499886937,1829426.9
352.39728309556085,1829433.9
352.43814930998633,1829295.9
352.45858241749374,1829185.6
352.4790155252267,1829218.6
352.4994486331998,1829219.8
352.5198817413475,1829271.0
352.54031474972,1829334.4
352.5607479583341,1829385.1
352.5811810671803,1829400.8
352.6016140761931,1829329.2
352.6220472855057,1829306.2
352.64248039493395,1829390.0
352.662913504646,1829370.8
352.6833466145981,1829382.2
352.7037797247249,1829360.9
352.724212835019,1829390.5
352.7446459456114,1829395.6
352.76507905637845,1829392.8
352.78551216737105,1829398.5
352.805945178603,1829387.6
352.8263783900693,1829415.1
352.8468115017022,1829429.0
352.8672445135744,1829433.4
352.887677725681,1829457.1
352.90811083795415,1829404.0
352.9285438505249,1829380.6
352.94897706327174,1829367.4
352.9694101761852,1829408.0
353.0102763027826,1829396.5
353.0307095163953,1829379.6
353.05114263024734,1829287.8
353.07157564433146,1829370.9
353.09200885858445,1829364.8
353.1124419730768,1829353.9
353.1328749878012,1829278.2
353.15330820269446,1829281.9
353.1737413178853,1829278.0
353.19417433325,1829328.1
353.21460754884174,1829236.4
353.23504066461464,1829115.6
353.2554736806778,1829087.8
353.2759067969091,1828887.4
353.29634001338127,1827107.8
353.31677303008473,1821892.2
353.3372061469563,1821090.4
353.357639264068,1820952.1
353.3780723814125,1821139.8
353.39850549898256,1821866.0
353.4189387167935,1825906.8
353.4393717347775,1829280.0
353.4598048529879,1829211.6
353.4802380714391,1829252.1
353.5006710901216,1829250.1
353.52110420903045,1829163.2
353.5415373281212,1829282.2
353.56197044744476,1829260.1
353.5824035669939,1829260.0
353.6028366867249,1829250.8
353.623269806747,1829306.6
353.6437029269364,1829253.0
353.6641360473659,1829329.2
353.684569268029,1829274.6
353.70500228885794,1829322.6
353.72543540998595,1829330.8
353.74586863128934,1829286.6
353.76630165281676,1829350.0
353.78673477458506,1829619.9
353.8071677965272,1829378.8
353.82760101875465,1829373.6
353.8480341411632,1829420.2
353.86846726380463,1829359.6
353.8889003866716,1829399.4
353.90933350972045,1829420.1
353.92976663306035,1829395.4
353.9501997565676,1829370.0
353.97063288031495,1829325.6
353.9910660042369,1829430.1
354.0114990284492,1829393.9
354.0319322528885,1829319.2
354.052365377509,1829354.6
354.07279840235424,1829303.4
354.0932316274411,1829383.8
354.1136647527019,1829332.5
354.13409777824563,1829338.8
